Networks,"XGBoost","Tiramisu","CDMPP w/o CMD",CDMPP w/ CMD
ResNet-18,"57.73851916","86.04296187","18.9002631",18.30055539
MobileNet-V2,"126.0973548","178.9096871","50.46473937",37.64200394
BERT-tiny,"20.41265368","48.08417943","10.397961887",9.044450128
