,_timestamp,_step,Test/Acc,_runtime,Test/Loss,Train/Acc,Train/Loss
0,1684250197.1810415,0,0.016129032258064516,9.01992654800415,4.134459282121351,0.03291920018477627,4.090512842134701
1,1684250200.2500203,1,0.016129032258064516,12.088905334472656,4.15813912339108,0.0429121262642572,4.017050801112781
2,1684250203.3723373,2,0.016129032258064516,15.211222410202026,4.198399634450994,0.04159535400412717,3.9706644244667735
3,1684250206.3559477,3,0.016129032258064516,18.194832801818848,4.253085440525445,0.05663947963239167,3.8695375487653356
4,1684250209.619201,4,0.021438172043010753,21.458086013793945,4.309150035342863,0.04646819901899974,3.8831535339066163
5,1684250212.6357806,5,0.016129032258064516,24.474665641784668,4.307840236412582,0.04591141226473933,3.8721325970786777
6,1684250215.3675942,6,0.01606182795698925,27.20647931098938,4.338756688499964,0.0486169803531587,3.8016162695018862
7,1684250218.4119444,7,0.016129032258064516,30.250829458236694,4.3336480247077125,0.054156988190109445,3.8288753789779215
8,1684250221.6283545,8,0.016129032258064516,33.46723961830139,4.362656151735655,0.04519475680588492,3.795258998212603
9,1684250224.6821942,9,0.016129032258064516,36.521079301834106,4.35833722000481,0.04676153429515019,3.8202749816483474
10,1684250227.9034708,10,0.01646505376344086,39.742355823516846,4.382579797698606,0.04921088326174987,3.822900272221896
11,1684250231.138238,11,0.016129032258064516,42.97712302207947,4.356766471619247,0.04632028089437241,3.833345171227573
12,1684250234.0926938,12,0.016129032258064516,45.93157887458801,4.4024883031204185,0.04265776388070891,3.784646519759778
13,1684250237.1055079,13,0.016129032258064516,48.944392919540405,4.381421817246304,0.047468867605213384,3.793123118357014
14,1684250240.3444955,14,0.016129032258064516,52.18338060379028,4.408043857864154,0.05377600179313678,3.7815223399226054
15,1684250243.296926,15,0.016129032258064516,55.13581109046936,4.416692204052402,0.041455219794143114,3.79242205000545
16,1684250246.3550801,16,0.016129032258064516,58.1939651966095,4.441889103381865,0.05121911835033107,3.7692499737843703
17,1684250249.1853435,17,0.016129032258064516,61.02422857284546,4.418699448147128,0.043611387533170655,3.803004585679543
18,1684250252.247953,18,0.016868279569892473,64.08683800697327,4.4225769895379266,0.04390366736792885,3.7700743205658305
19,1684250255.1651597,19,0.016868279569892473,67.00404477119446,4.406172847875985,0.0456697802259585,3.7827711506938764
20,1684250258.1761365,20,0.01760752688172043,70.0150215625763,4.433287211643752,0.052675949069582804,3.7450043591056263
21,1684250261.2546146,21,0.02567204301075269,73.09349966049194,4.43855909955117,0.055935130376552435,3.7377643261284037
22,1684250264.3788478,22,0.01700268817204301,76.21773290634155,4.452989348480778,0.04820095125201402,3.752682861883237
23,1684250267.4786186,23,0.016129032258064516,79.3175036907196,4.4409594840259965,0.05458245338915083,3.753867764842674
24,1684250270.7774837,24,0.016129032258064516,82.61636877059937,4.363376951025378,0.051806090852362666,3.848906152261776
25,1684250273.9435985,25,0.016129032258064516,85.78248357772827,4.420310692761534,0.05043359466944523,3.7481643344100752
26,1684250276.762754,26,0.016129032258064516,88.60163903236389,4.4481571630765036,0.0563795409200861,3.7650023955951055
27,1684250279.932079,27,0.016129032258064516,91.7709641456604,4.474908798933029,0.04760231372141101,3.7585166970464137
28,1684250283.1826324,28,0.016129032258064516,95.0215175151825,4.425293253634566,0.05032055481235005,3.8106345050254795
29,1684250286.3414319,29,0.016129032258064516,98.18031692504883,4.453130056781154,0.05936134743943951,3.7367899513805063
30,1684250289.3295717,30,0.016129032258064516,101.16845679283142,4.440631460438492,0.04924803808705444,3.779358899474537
31,1684250292.4226882,31,0.016129032258064516,104.26157331466675,4.473437825518269,0.04945365085561844,3.7652708310565877
32,1684250295.4123504,32,0.016196236559139786,107.2512354850769,4.461093963474355,0.049900309585637764,3.7627063308585837
33,1684250298.438997,33,0.02842741935483871,110.27788209915161,4.493978718275665,0.05677511626507251,3.716130531055395
34,1684250301.8489723,34,0.027755376344086022,113.68785738945007,4.443593460065062,0.05268153246685027,3.7586928032138416
35,1684250304.9131608,35,0.016129032258064516,116.75204586982727,4.488237725791111,0.0508647490155122,3.775972158085689
36,1684250308.154564,36,0.016196236559139786,119.99344897270203,4.494115528239999,0.0638279073147247,3.750308228732666
37,1684250311.3058224,37,0.016129032258064516,123.14470744132996,4.4958914335696925,0.07110415734714595,3.6970233966147292
38,1684250314.3820844,38,0.02056451612903226,126.22096943855286,4.415789344938853,0.04439257404924892,3.7786104659673647
39,1684250317.406006,39,0.03225806451612903,129.244891166687,4.480882927615156,0.057176361265231346,3.7428000969660657
40,1684250320.4355893,40,0.027352150537634408,132.2744743824005,4.481904058687149,0.05829788469705059,3.7370484342434116
41,1684250323.4593194,41,0.026478494623655913,135.29820442199707,4.487440986658937,0.06155814989091233,3.74928381223502
42,1684250326.5240233,42,0.02439516129032258,138.36290836334229,4.4308295515916685,0.05693207437206328,3.7717854445493253
43,1684250329.520379,43,0.016599462365591396,141.35926413536072,4.458090893683895,0.07036259324226327,3.7111661523590542
44,1684250332.7003956,44,0.06081989247311828,144.53928065299988,4.452846658165737,0.06403670758494881,3.722652631487685
45,1684250335.6628475,45,0.016129032258064516,147.50173258781433,4.488379720398175,0.06465038217374157,3.7181926092095425
46,1684250338.6896749,46,0.042741935483870966,150.528559923172,4.42532338442341,0.057364849080441295,3.728153892839795
47,1684250341.7738688,47,0.016599462365591396,153.61275386810303,4.469620575187027,0.05953180681346084,3.7191985812788566
48,1684250344.6527238,48,0.03514784946236559,156.49160885810852,4.400731370013247,0.06589541898617887,3.7423439114261896
